marker,allele,frequency
D5S2500,14,0.0527449
D5S2500,15,0.214747
D5S2500,16,0.100646
D5S2500,17,0.0236814
D5S2500,18,0.00269107
D5S2800,13,0.021
D5S2800,14,0.238
D5S2800,15,0.003
D5S2800,16,0.001
D5S2800,17,0.239
D5S2800,18,0.28
D5S2800,19,0.006
D5S2800,20,0.025
D5S2800,22,0.003
D5S2800,23,0.165
D5S2800,24,0.019
D6S474,11,0.000470588
D6S474,12,0.00211765
D6S474,13,0.255529
D6S474,14,0.200941
D6S474,14.1,0.000235294
D6S474,15,0.128
D6S474,16,0.301647
D6S474,17,0.103765
D6S474,18,0.00705882
D6S474,19,0.000235294
D7S820,6,0.0015
D7S820,7,0.014
D7S820,8,0.2025
D7S820,9,0.105
D7S820,10,0.299
D7S820,10.1,0.0005
D7S820,11,0.21
D7S820,12,0.14
D7S820,13,0.0225
D7S820,14,0.005
D7S3048,16,0.003
D7S3048,17,0.068
D7S3048,18,0.091
D7S3048,19,0.061
D7S3048,20,0.075
D7S3048,21,0.106
D7S3048,22,0.086
D7S3048,23,0.186
D7S3048,24,0.181
D7S3048,25,0.098
D7S3048,26,0.037
D7S3048,27,0.006
D7S3048,28,0.001
D7S3048,30,0.001
D7S1517,14,0.000538213
D7S1517,15,0.000538213
D7S1517,16,0.00269107
D7S1517,17,0.00269107
D7S1517,18,0.0236814
D7S1517,19,0.0974166
D7S1517,20,0.118945
D7S1517,21,0.11141
D7S1517,22,0.100646
D7S1517,23,0.107643
D7S1517,24,0.15662
D7S1517,24.1,0.000538213
D7S1517,25,0.208827
D7S1517,26,0.0500538
D7S1517,27,0.0129171
D7S1517,28,0.00269107
D7S1517,29,0.00215285
D8S1132,12.1,0.000235294
D8S1132,13.1,0.000470588
D8S1132,14,0.000235294
D8S1132,14.1,0.000470588
D8S1132,15,0.000470588
D8S1132,16,0.0108235
D8S1132,17,0.113647
D8S1132,18,0.227294
D8S1132,19,0.154588
D8S1132,20,0.144706
D8S1132,21,0.114353
D8S1132,21.1,0.000470588
D8S1132,22,0.115294
D8S1132,23,0.0814118
D8S1132,23.2,0.000235294
D8S1132,24,0.0254118
D8S1132,25,0.00894118
D8S1132,26,0.000941176
D8S1179,8,0.0055
D8S1179,9,0.006
D8S1179,10,0.055
D8S1179,11,0.072
D8S1179,12,0.1165
D8S1179,13,0.257
D8S1179,14,0.272
D8S1179,15,0.1655
D8S1179,16,0.0425
D8S1179,17,0.008
D9S1122,7,0.001
D9S1122,9,0.008
D9S1122,10,0.054
D9S1122,11,0.237
D9S1122,12,0.405
D9S1122,13,0.256
D9S1122,14,0.031
D9S1122,15,0.007
D9S1122,16,0.001
D10S1248,8,0.0005
D10S1248,9,0.0015
D10S1248,10,0.0015
D10S1248,11,0.013
D10S1248,12,0.0885
D10S1248,13,0.2475
D10S1248,14,0.309
D10S1248,15,0.214
D10S1248,16,0.0995
D10S1248,17,0.024
D10S1248,18,0.001
D10S2325,6,0.00376749
D10S2325,7,0.178149
D10S2325,8,0.0511302
D10S2325,9,0.083423
D10S2325,10,0.151776
D10S2325,11,0.177072
D10S2325,12,0.159311
D10S2325,13,0.0995694
D10S2325,14,0.0678149
D10S2325,15,0.0204521
D10S2325,16,0.00645856
D10S2325,17,0.000538213
D10S2325,18,0.000538213
D11S2368,14,0.001
D11S2368,15,0.002
D11S2368,16,0.016
D11S2368,17,0.048
D11S2368,18,0.143
D11S2368,19,0.241
D11S2368,20,0.266
D11S2368,21,0.206
D11S2368,22,0.059
D11S2368,23,0.016
D11S2368,24,0.002
D12S391,13,0.0005
D12S391,14,0.001
D12S391,15,0.068
D12S391,15.1,0.001
D12S391,16,0.048
D12S391,17,0.126
D12S391,17.1,0.004
D12S391,17.3,0.01
D12S391,18,0.2375
D12S391,18.3,0.0155
D12S391,19,0.132
D12S391,19.1,0.0035
D12S391,19.3,0.006
D12S391,20,0.1245
D12S391,20.3,0.0005
D12S391,21,0.077
D12S391,22,0.075
D12S391,23,0.042
D12S391,24,0.0125
D12S391,25,0.011
D12S391,26,0.0035
D12S391,27,0.001
D13S317,8,0.0715
D13S317,9,0.057
D13S317,10,0.0355
D13S317,11,0.254
D13S317,12,0.3885
D13S317,13,0.1305
D13S317,14,0.063
D13S325,16,0.004
D13S325,17,0.012
D13S325,18,0.045
D13S325,19,0.167
D13S325,20,0.308
D13S325,21,0.231
D13S325,22,0.141
D13S325,23,0.071
D13S325,24,0.017
D13S325,25,0.001
D13S325,26.3,0.002
D13S325,27.3,0.001
D14S1434,9,0.001
D14S1434,10,0.29
D14S1434,11,0.036
D14S1434,12,0.018
D14S1434,13,0.261
D14S1434,14,0.384
D14S1434,15,0.006
D14S1434,16,0.004
D15S659,6,0.001
D15S659,7,0.003
D15S659,9,0.006
D15S659,10,0.037
D15S659,11,0.222
D15S659,12,0.163
D15S659,13,0.059
D15S659,14,0.037
D15S659,15,0.207
D15S659,16,0.18
D15S659,17,0.061
D15S659,18,0.021
D15S659,19,0.003
D16S539,5,0.0005
D16S539,8,0.03
D16S539,9,0.2075
D16S539,10,0.097
D16S539,11,0.2935
D16S539,12,0.221
D16S539,13,0.1285
D16S539,14,0.0215
D16S539,15,0.0005
D17S1301,9,0.001
D17S1301,10,0.042
D17S1301,11,0.292
D17S1301,12,0.449
D17S1301,13,0.188
D17S1301,14,0.023
D17S1301,15,0.005
D18S51,9,0.0005
D18S51,10,0.006
D18S51,10.2,0.0005
D18S51,11,0.013
D18S51,12,0.0985
D18S51,12.2,0.001
D18S51,13,0.0675
D18S51,13.2,0.004
D18S51,14,0.1035
D18S51,14.2,0.0025
D18S51,15,0.163
D18S51,15.2,0.002
D18S51,16,0.1695
D18S51,17,0.1415
D18S51,18,0.0835
D18S51,19,0.075
D18S51,20,0.0375
D18S51,21,0.017
D18S51,21.2,0.0005
D18S51,22,0.011
D18S51,23,0.002
D18S51,24,0.0005
D18S1364,11,0.001
D18S1364,12,0.045
D18S1364,13,0.247
D18S1364,14,0.142
D18S1364,15,0.185
D18S1364,16,0.126
D18S1364,17,0.043
D18S1364,18,0.143
D18S1364,19,0.062
D18S1364,20,0.006
D19S253,6,0.004
D19S253,7,0.222
D19S253,8,0.018
D19S253,9,0.009
D19S253,10,0.018
D19S253,11,0.147
D19S253,12,0.353
D19S253,13,0.16
D19S253,14,0.061
D19S253,15,0.007
D19S253,16,0.001
D19S433,10,0.006
D19S433,11,0.0385
D19S433,11.2,0.002
D19S433,12,0.1
D19S433,12.2,0.017
D19S433,13,0.2645
D19S433,13.2,0.0495
D19S433,14,0.264
D19S433,14.2,0.032
D19S433,15,0.1085
D19S433,15.2,0.0635
D19S433,16,0.029
D19S433,16.2,0.0205
D19S433,17,0.0025
D19S433,17.2,0.002
D19S433,18.2,0.0005
D20S482,9,0.01
D20S482,10,0.004
D20S482,11,0.007
D20S482,12,0.039
D20S482,13,0.222
D20S482,14,0.477
D20S482,15,0.186
D20S482,16,0.052
D20S482,17,0.003
D21S11,24.2,0.001
D21S11,24.3,0.0015
D21S11,25,0.001
D21S11,26,0.001
D21S11,27,0.023
D21S11,28,0.1645
D21S11,29,0.2125
D21S11,29.2,0.0015
D21S11,30,0.2255
D21S11,30.2,0.028
D21S11,31,0.0795
D21S11,31.2,0.089
D21S11,32,0.0145
D21S11,32.1,0.002
D21S11,32.2,0.079
D21S11,33,0.0035
D21S11,33.1,0.0005
D21S11,33.2,0.04
D21S11,34,0.0015
D21S11,34.2,0.0035
D21S11,35,0.022
D21S11,35.2,0.0005
D21S11,36,0.0045
D21S11,37,0.0005
D21S2055,15.1,0.000235294
D21S2055,16.1,0.0736471
D21S2055,17.1,0.0214118
D21S2055,18.1,0.0157647
D21S2055,19.1,0.227059
D21S2055,20.1,0.036
D21S2055,21.1,0.00470588
D21S2055,22,0.000705882
D21S2055,22.1,0.000235294
D21S2055,23,0.00682353
D21S2055,24,0.0103529
D21S2055,25,0.138118
D21S2055,26,0.139529
D21S2055,27,0.0211765
D21S2055,27.3,0.000235294
D21S2055,28,0.00658824
D21S2055,28.1,0.000235294
D21S2055,28.3,0.000235294
D21S2055,29,0.032
D21S2055,30,0.0305882
D21S2055,31,0.036
D21S2055,32,0.04
D21S2055,33,0.0522353
D21S2055,34,0.0588235
D21S2055,35,0.0336471
D21S2055,36,0.0112941
D21S2055,37,0.00188235
D21S2055,38,0.000470588
D22GATA198B05,11.2,0.001
D22GATA198B05,12,0.004
D22GATA198B05,14,0.01
D22GATA198B05,15,0.011
D22GATA198B05,16,0.131
D22GATA198B05,17,0.188
D22GATA198B05,18,0.099
D22GATA198B05,19,0.244
D22GATA198B05,20,0.153
D22GATA198B05,21,0.11
D22GATA198B05,22,0.044
D22GATA198B05,23,0.005
D22S1045,8,0.001
D22S1045,10,0.0355
D22S1045,11,0.1025
D22S1045,12,0.032
D22S1045,13,0.006
D22S1045,14,0.0575
D22S1045,15,0.309
D22S1045,16,0.283
D22S1045,17,0.1555
D22S1045,18,0.017
D22S1045,19,0.001
CSF1PO,7,0.037
CSF1PO,8,0.033
CSF1PO,9,0.0305
CSF1PO,10,0.267
CSF1PO,11,0.2825
CSF1PO,12,0.2885
CSF1PO,13,0.05
CSF1PO,14,0.011
CSF1PO,15,0.0005
FGA,17,0.0005
FGA,18,0.004
FGA,18.2,0.0045
FGA,19,0.066
FGA,19.2,0.003
FGA,20,0.0855
FGA,20.2,0.0005
FGA,21,0.143
FGA,21.2,0.0015
FGA,22,0.177
FGA,22.2,0.004
FGA,22.3,0.001
FGA,23,0.1425
FGA,23.2,0.0025
FGA,24,0.1445
FGA,24.3,0.001
FGA,25,0.117
FGA,25.3,0.0005
FGA,26,0.044
FGA,27,0.03
FGA,28,0.014
FGA,29,0.0045
FGA,30,0.0015
FGA,30.2,0.0005
FGA,31.2,0.0015
FGA,44.2,0.0005
FGA,45.2,0.004
FGA,46.2,0.0005
FGA,49.2,0.0005
Penta D,5,0.0005
Penta D,5.2,0.0005
Penta D,7,0.0365
Penta D,7.4,0.0005
Penta D,8,0.076
Penta D,8.4,0.0005
Penta D,9,0.3175
Penta D,10,0.15
Penta D,11,0.126
Penta D,11.2,0.003
Penta D,12,0.1415
Penta D,13,0.088
Penta D,14,0.0425
Penta D,15,0.0125
Penta D,16,0.0035
Penta D,18,0.0005
Penta D,19,0.0005
Penta E,5,0.049
Penta E,6,0.0005
Penta E,7,0.006
Penta E,8,0.002
Penta E,8.1,0.0005
Penta E,9,0.012
Penta E,10,0.048
Penta E,11,0.261
Penta E,12,0.1155
Penta E,13,0.059
Penta E,14,0.0765
Penta E,15,0.066
Penta E,16,0.065
Penta E,16.4,0.0005
Penta E,17,0.0565
Penta E,17.2,0.0005
Penta E,17.4,0.002
Penta E,18,0.0565
Penta E,18.4,0.0015
Penta E,19,0.0405
Penta E,20,0.0245
Penta E,21,0.024
Penta E,22,0.0145
Penta E,23,0.0105
Penta E,24,0.003
Penta E,25,0.0035
Penta E,26,0.001
SE33,6.3,0.000709622
SE33,7.3,0.000709622
SE33,9,0.000567698
SE33,10,0.000141924
SE33,11,0.000425773
SE33,11.2,0.000283849
SE33,12,0.00312234
SE33,12.2,0.000567698
SE33,13,0.0058189
SE33,13.2,0.000283849
SE33,13.3,0.000141924
SE33,14,0.0107863
SE33,14.2,0.000425773
SE33,14.3,0.000141924
SE33,15,0.0139086
SE33,15.2,0.000709622
SE33,15.3,0.000567698
SE33,16,0.0327846
SE33,16.1,0.000141924
SE33,16.2,0.000283849
SE33,16.3,0.000141924
SE33,17,0.0655691
SE33,17.2,0.000567698
SE33,18,0.0739427
SE33,18.2,0.000851547
SE33,19,0.0750781
SE33,19.1,0.000141924
SE33,19.2,0.00127732
SE33,20,0.0591825
SE33,20.1,0.000141924
SE33,20.2,0.00482543
SE33,21,0.0354811
SE33,21.1,0.000709622
SE33,21.2,0.0242691
SE33,22,0.0110701
SE33,22.1,0.000141924
SE33,22.2,0.0227079
SE33,23,0.00212887
SE33,23.2,0.0367584
SE33,24,0.000851547
SE33,24.2,0.0464093
SE33,24.3,0.000141924
SE33,25,0.000425773
SE33,25.2,0.0475447
SE33,26,0.000283849
SE33,26.1,0.000141924
SE33,26.2,0.0668464
SE33,26.3,0.000141924
SE33,27.2,0.0766392
SE33,27.3,0.000141924
SE33,28,0.000567698
SE33,28.2,0.0826001
SE33,29,0.000141924
SE33,29.2,0.0669884
SE33,30,0.000425773
SE33,30.2,0.0530798
SE33,31,0.000283849
SE33,31.2,0.0330684
SE33,32,0.000141924
SE33,32.2,0.0198694
SE33,32.3,0.000283849
SE33,33,0.000709622
SE33,33.2,0.0080897
SE33,34,0.000709622
SE33,34.2,0.00425773
SE33,35,0.000283849
SE33,35.2,0.000993471
SE33,36.2,0.000283849
SE33,37,0.000141924
TH01,5,0.0005
TH01,6,0.179
TH01,7,0.301
TH01,8,0.1945
TH01,8.3,0.0005
TH01,9,0.1705
TH01,9.3,0.1375
TH01,10,0.016
TH01,13.3,0.0005
TPOX,5,0.002
TPOX,6,0.038
TPOX,7,0.0115
TPOX,8,0.385
TPOX,9,0.146
TPOX,10,0.074
TPOX,11,0.283
TPOX,12,0.059
TPOX,13,0.0015
VWA,11,0.0025
VWA,12,0.001
VWA,13,0.0085
VWA,14,0.0745
VWA,15,0.177
VWA,16,0.2595
VWA,17,0.236
VWA,18,0.155
VWA,19,0.0645
VWA,20,0.018
VWA,21,0.0035
