marker,allele,frequency
D3S1744,20,0.0548977
D3S1744,21,0.00645856
D3S1744,22,0.00107643
D4S2366,9,0.2831
D4S2366,10,0.138321
D4S2366,11,0.0850377
D4S2366,11.2,0.00107643
D4S2366,12,0.181916
D4S2366,13,0.193757
D4S2366,14,0.114101
D4S2366,15,0.00269107
D5S818,7,0.0274154
D5S818,8,0.00254256
D5S818,9,0.0591422
D5S818,10,0.218881
D5S818,11,0.282998
D5S818,12,0.241322
D5S818,12.1,0.000110546
D5S818,13,0.154986
D5S818,14,0.0103913
D5S818,15,0.00221092
D5S2500,8,0.00041806
D5S2500,9,0.0020903
D5S2500,10,0.0948997
D5S2500,11,0.268813
D5S2500,12,0.176839
D5S2500,13,0.0614548
D5S2500,13.2,0.00041806
D5S2500,14,0.0564381
D5S2500,15,0.238712
D5S2500,16,0.0815217
D5S2500,17,0.0150502
D5S2500,18,0.00334448
D6S474,11,0.000538213
D6S474,12,0.00322928
D6S474,13,0.263186
D6S474,14,0.189989
D6S474,15,0.137244
D6S474,16,0.293864
D6S474,17,0.104952
D6S474,18,0.00699677
D7S820,6,0.000110546
D7S820,7,0.00751713
D7S820,8,0.16604
D7S820,9,0.0749503
D7S820,9.1,0.00386911
D7S820,9.2,0.000110546
D7S820,9.3,0.000110546
D7S820,10,0.194451
D7S820,10.1,0.000442184
D7S820,10.3,0.000110546
D7S820,11,0.341809
D7S820,11.1,0.00055273
D7S820,11.3,0.000110546
D7S820,12,0.179306
D7S820,12.3,0.000110546
D7S820,13,0.0253151
D7S820,14,0.00486403
D7S820,15,0.000221092
D7S1517,16,0.00250836
D7S1517,17,0.00376254
D7S1517,18,0.0367893
D7S1517,19,0.111204
D7S1517,20,0.107023
D7S1517,21,0.102425
D7S1517,22,0.0861204
D7S1517,23,0.102843
D7S1517,24,0.152592
D7S1517,25,0.223662
D7S1517,25.1,0.00041806
D7S1517,26,0.0576923
D7S1517,27,0.00919732
D7S1517,28,0.0020903
D7S1517,29,0.00167224
D8S1132,12.1,0.000538213
D8S1132,13.1,0.00107643
D8S1132,14.1,0.00107643
D8S1132,15,0.00107643
D8S1132,16,0.00968784
D8S1132,17,0.110334
D8S1132,18,0.244349
D8S1132,19,0.154467
D8S1132,20,0.148547
D8S1132,21,0.107643
D8S1132,22,0.113025
D8S1132,23,0.0737352
D8S1132,24,0.0242196
D8S1132,25,0.00914962
D8S1132,26,0.00107643
D8S1179,6,0.000110546
D8S1179,7,0.000110546
D8S1179,8,0.0014371
D8S1179,9,0.00176874
D8S1179,10,0.135972
D8S1179,11,0.123259
D8S1179,12,0.126575
D8S1179,13,0.171899
D8S1179,14,0.165709
D8S1179,15,0.185165
D8S1179,15.3,0.000110546
D8S1179,16,0.0728499
D8S1179,17,0.0128233
D8S1179,18,0.00210038
D8S1179,19,0.000110546
D10S1248,7,0.000221092
D10S1248,8,0.000331638
D10S1248,9,0.00221092
D10S1248,10,0.00055273
D10S1248,11,0.00386911
D10S1248,12,0.046761
D10S1248,13,0.312072
D10S1248,14,0.251603
D10S1248,15,0.244528
D10S1248,16,0.106677
D10S1248,17,0.0279682
D10S1248,18,0.00320584
D10S2325,5,0.00041806
D10S2325,6,0.00083612
D10S2325,7,0.172241
D10S2325,8,0.0597826
D10S2325,9,0.0915552
D10S2325,10,0.134197
D10S2325,10.2,0.00041806
D10S2325,11,0.152592
D10S2325,12,0.171405
D10S2325,12.2,0.00125418
D10S2325,13,0.130435
D10S2325,13.2,0.00041806
D10S2325,14,0.0522575
D10S2325,15,0.0255017
D10S2325,16,0.00459866
D10S2325,17,0.00125418
D10S2325,18,0.00041806
D10S2325,20,0.00041806
D12S391,14,0.000331638
D12S391,15,0.0122706
D12S391,16,0.00541676
D12S391,17,0.0834623
D12S391,17.3,0.000663277
D12S391,18,0.185828
D12S391,18.3,0.000884369
D12S391,19,0.191687
D12S391,19.2,0.000221092
D12S391,19.3,0.000773823
D12S391,20,0.168693
D12S391,21,0.123701
D12S391,22,0.106124
D12S391,23,0.0717444
D12S391,24,0.0258678
D12S391,25,0.0169136
D12S391,26,0.00420075
D12S391,27,0.00121601
D13S317,6,0.000442184
D13S317,7,0.00265311
D13S317,8,0.292616
D13S317,9,0.123369
D13S317,10,0.124364
D13S317,11,0.227393
D13S317,12,0.16405
D13S317,13,0.0496352
D13S317,14,0.0148132
D13S317,15,0.000663277
D16S539,8,0.0118284
D16S539,9,0.185939
D16S539,10,0.120164
D16S539,11,0.2935
D16S539,12,0.258125
D16S539,13,0.112204
D16S539,13.3,0.000110546
D16S539,14,0.0171346
D16S539,15,0.000994915
D18S51,9,0.000221092
D18S51,10,0.00165819
D18S51,11,0.00784877
D18S51,12,0.0683175
D18S51,13,0.141941
D18S51,14,0.176542
D18S51,14.1,0.000110546
D18S51,15,0.223745
D18S51,15.1,0.000110546
D18S51,15.2,0.000331638
D18S51,16,0.161839
D18S51,16.2,0.000663277
D18S51,17,0.0808092
D18S51,17.2,0.000221092
D18S51,18,0.0456555
D18S51,19,0.0340482
D18S51,20,0.0222198
D18S51,21,0.0147026
D18S51,22,0.011939
D18S51,23,0.00342693
D18S51,24,0.00243201
D18S51,25,0.000994915
D18S51,26,0.000221092
D19S433,9,0.0071855
D19S433,10,0.000331638
D19S433,11,0.00364802
D19S433,11.2,0.00055273
D19S433,12,0.0600265
D19S433,12.2,0.0071855
D19S433,13,0.238669
D19S433,13.2,0.0368119
D19S433,14,0.247181
D19S433,14.2,0.0853416
D19S433,15,0.0900951
D19S433,15.2,0.158855
D19S433,16,0.0217776
D19S433,16.2,0.0347115
D19S433,17,0.00187928
D19S433,17.2,0.00497457
D19S433,18.2,0.000663277
D19S433,19.2,0.000110546
D21S11,25,0.000110546
D21S11,26,0.000442184
D21S11,27,0.00420075
D21S11,28,0.062348
D21S11,28.2,0.00121601
D21S11,29,0.251824
D21S11,29.2,0.000994915
D21S11,29.3,0.000110546
D21S11,30,0.243091
D21S11,30.1,0.000110546
D21S11,30.2,0.0334955
D21S11,30.3,0.000994915
D21S11,31,0.0692019
D21S11,31.2,0.0821358
D21S11,32,0.0255361
D21S11,32.1,0.000110546
D21S11,32.2,0.154875
D21S11,33,0.00331638
D21S11,33.1,0.000221092
D21S11,33.2,0.0565996
D21S11,34,0.000442184
D21S11,34.2,0.00663277
D21S11,35,0.00055273
D21S11,35.1,0.000110546
D21S11,35.2,0.00110546
D21S11,36,0.000110546
D21S11,37,0.000110546
D21S2055,15.1,0.000538213
D21S2055,16.1,0.0850377
D21S2055,17.1,0.022605
D21S2055,18.1,0.00968784
D21S2055,19.1,0.212594
D21S2055,20.1,0.032831
D21S2055,21.1,0.00322928
D21S2055,22,0.00107643
D21S2055,23,0.00538213
D21S2055,24,0.0145318
D21S2055,25,0.138859
D21S2055,26,0.135091
D21S2055,27,0.0134553
D21S2055,28,0.00753498
D21S2055,28.1,0.000538213
D21S2055,29,0.0376749
D21S2055,30,0.0365985
D21S2055,31,0.0392896
D21S2055,32,0.0452099
D21S2055,33,0.0522067
D21S2055,34,0.0538213
D21S2055,35,0.0355221
D21S2055,36,0.0139935
D21S2055,37,0.00269107
D22S1045,10,0.000442184
D22S1045,11,0.17002
D22S1045,12,0.0028742
D22S1045,12.1,0.000110546
D22S1045,13,0.00630113
D22S1045,14,0.0397966
D22S1045,15,0.365244
D22S1045,15.2,0.000110546
D22S1045,16,0.206942
D22S1045,17,0.187597
D22S1045,18,0.0191245
D22S1045,19,0.00121601
D22S1045,20,0.000110546
D22S1045,22,0.000110546
CSF1PO,7,0.00608004
CSF1PO,8,0.00176874
CSF1PO,9,0.0268627
CSF1PO,10,0.216339
CSF1PO,11,0.299138
CSF1PO,11.1,0.000110546
CSF1PO,12,0.366239
CSF1PO,13,0.0727393
CSF1PO,14,0.00972806
CSF1PO,15,0.000994915
FGA,13,0.000442184
FGA,15,0.000110546
FGA,16,0.00254256
FGA,17,0.00121601
FGA,18,0.0164714
FGA,19,0.074287
FGA,19.2,0.000110546
FGA,20,0.0598054
FGA,20.2,0.00132655
FGA,21,0.135308
FGA,21.2,0.0133761
FGA,21.3,0.000110546
FGA,22,0.190471
FGA,22.2,0.0120495
FGA,22.3,0.000221092
FGA,23,0.167809
FGA,23.2,0.00961751
FGA,24,0.141941
FGA,24.2,0.0139288
FGA,25,0.0915322
FGA,25.2,0.0071855
FGA,26,0.041897
FGA,26.2,0.00154765
FGA,27,0.0113862
FGA,27.2,0.000442184
FGA,28,0.00320584
FGA,28.2,0.000110546
FGA,29,0.000773823
FGA,30,0.000110546
FGA,31.1,0.000442184
FGA,31.2,0.000110546
FGA,32.1,0.000110546
Penta D,2.2,0.000369094
Penta D,5,0.000369094
Penta D,6,0.000492126
Penta D,7,0.00565945
Penta D,8,0.0182087
Penta D,9,0.20657
Penta D,10,0.104946
Penta D,11,0.147146
Penta D,12,0.220349
Penta D,13,0.207923
Penta D,13.4,0.000615157
Penta D,14,0.0706201
Penta D,14.1,0.000492126
Penta D,15,0.0132874
Penta D,16,0.00270669
Penta D,17,0.000123031
Penta D,18,0.000123031
Penta E,5,0.0733268
Penta E,6,0.00135335
Penta E,7,0.162648
Penta E,8,0.011811
Penta E,9,0.0105807
Penta E,10,0.0887057
Penta E,11,0.110851
Penta E,12,0.200295
Penta E,13,0.101132
Penta E,14,0.0537648
Penta E,15,0.0494587
Penta E,16,0.046998
Penta E,17,0.0436762
Penta E,18,0.0225148
Penta E,19,0.0114419
Penta E,20,0.00775098
Penta E,21,0.00221457
Penta E,22,0.00123031
Penta E,23,0.000246063
SE33,6.3,0.000186174
SE33,7.3,6.20578e-05
SE33,8,0.000124116
SE33,9,0.000248231
SE33,9.2,6.20578e-05
SE33,10,0.000124116
SE33,10.2,6.20578e-05
SE33,11,0.000620578
SE33,11.2,0.000310289
SE33,12,0.00440611
SE33,12.1,6.20578e-05
SE33,12.2,0.000310289
SE33,13,0.00887427
SE33,13.2,0.00198585
SE33,13.3,0.000186174
SE33,14,0.0291051
SE33,14.2,0.00186174
SE33,14.3,0.000186174
SE33,15,0.0399652
SE33,15.2,0.00086881
SE33,15.3,0.00086881
SE33,16,0.0479707
SE33,16.1,0.000186174
SE33,16.2,0.000558521
SE33,16.3,0.0016135
SE33,17,0.068636
SE33,17.1,6.20578e-05
SE33,17.2,0.000434405
SE33,17.3,0.00111704
SE33,18,0.0749659
SE33,18.1,6.20578e-05
SE33,18.2,0.000682636
SE33,18.3,0.00111704
SE33,19,0.0695668
SE33,19.1,6.20578e-05
SE33,19.2,0.00335112
SE33,19.3,0.000124116
SE33,20,0.0485913
SE33,20.2,0.0103637
SE33,20.3,6.20578e-05
SE33,21,0.0299739
SE33,21.2,0.0158247
SE33,21.3,6.20578e-05
SE33,22,0.00906044
SE33,22.2,0.027926
SE33,23,0.0027926
SE33,23.2,0.0350627
SE33,24,0.000620578
SE33,24.2,0.0315874
SE33,25,0.000372347
SE33,25.2,0.0369244
SE33,26,0.000248231
SE33,26.2,0.0538662
SE33,27,0.000248231
SE33,27.1,6.20578e-05
SE33,27.2,0.0748418
SE33,27.3,0.000186174
SE33,28,0.000248231
SE33,28.2,0.0781308
SE33,28.3,6.20578e-05
SE33,29,0.000372347
SE33,29.2,0.066526
SE33,29.3,0.000124116
SE33,30,0.000124116
SE33,30.1,6.20578e-05
SE33,30.2,0.0533697
SE33,31,0.000310289
SE33,31.2,0.0287328
SE33,32,0.00105498
SE33,32.2,0.0124736
SE33,33,0.00589549
SE33,33.2,0.00477845
SE33,34,0.00310289
SE33,34.2,0.00186174
SE33,35,0.00155145
SE33,35.2,0.000248231
SE33,36,0.000806752
SE33,36.2,6.20578e-05
SE33,37,0.000310289
SE33,38,0.000124116
TH01,4,0.000110546
TH01,5,0.000331638
TH01,6,0.13774
TH01,7,0.288304
TH01,8,0.0745081
TH01,9,0.365023
TH01,9.3,0.0724077
TH01,10,0.0593633
TH01,11,0.00187928
TH01,12,0.000331638
TPOX,6,0.000331638
TPOX,7,0.00055273
TPOX,7.3,0.000110546
TPOX,8,0.574287
TPOX,9,0.120606
TPOX,10,0.0436657
TPOX,11,0.241875
TPOX,12,0.0175768
TPOX,13,0.000773823
TPOX,14,0.000221092
VWA,10,0.000110546
VWA,12,0.000110546
VWA,13,0.000994915
VWA,14,0.240217
VWA,15,0.0447712
VWA,16,0.152443
VWA,17,0.24906
VWA,18,0.196109
VWA,19,0.0961751
VWA,20,0.0187928
VWA,21,0.000884369
VWA,22,0.000331638
